,question,A,B,C,D,answer
0,Computer technology is changing at a pace.,Slow,Slow to medium,Rapid,Nonexistent,C
1,Computer refers to those attributes that have a direct impact on the logical execution of a program.,Organization,Specifics,Design,Architecture,D
2,Architectural attributes include .,IO mechanisms,Control signals,Interfaces,Memory technology used,A
3,attributes include hardware details transparent to the programmer.,Interface,Organizational,Memory,Architectural,B
4,It is an design issue whether a computer will have a multiply instruction.,Architectural,Memory,Elementary,Organizational,A
5,It is an issue whether the multiply instruction will be implemented by a special multiply unit or by a mechanism that makes repeated use of the add unit of the system.,Architectural,Memory,Mechanical,Organizational,D
6,A system is a set of interrelated subsystems.,Secondary,Hierarchical,Complex,Functional,B
7,An IO device is referred to as a .,CPU,Control device,Peripheral,Register,C
8,"When data are moved over longer distances, to or from a remote device, the process is known as .",Data communications,Registering,Structuring,Data transport,A
9,The stores data.,System bus,IO,Main memory,Control unit,C
10,The moves data between the computer and its external environment.,Data transport,IO,Register,CPU interconnection,B
11,A common example of system interconnection is by means of a .,Register,System bus,Data transport,Control device,B
12,"A is a mechanism that provides for communication among CPU, main memory, and IO.",System interconnection,CPU interconnection,Peripheral,Processor,A
13,provide storage internal to the CPU.,Control units,ALUs,Main memory,Registers,D
14,The performs the computers data processing functions.,Register,CPU interconnection,ALU,System bus,C
15,The was the worlds first generalpurpose electronic digital computer.,UNIVAC,MARK IV,ENIAC,Holleriths Counting Machine,C
16,The Electronic Numerical Integrator and Computer project was a response to U.S. needs during .,The Civil War,The FrenchAmerican War,World War I,World War II,D
17,The ENIAC used .,Vacuum tubes,Integrated circuits,IAS,Transistors,A
18,The ENIAC is an example of a generation computer.,First,Second,Third,Fourth,A
19,The interprets the instructions in memory and causes them to be executed.,Main memory,Control unit,IO,Arithmetic and logic unit,B
20,The memory of the IAS consists of 1000 storage locations called .,Opcodes,Wafers,VLSIs,Words,D
21,The contains the 8bit opcode instruction being executed.,Memory buffer register,Instruction buffer register,Instruction register,Memory address register,C
22,During the the opcode of the next instruction is loaded into the IR and the address portion is loaded into the MAR.,Execute cycle,Fetch cycle,Instruction cycle,Clock cycle,B
23,Second generation computers used .,Integrated circuits,Transistors,Vacuum tubes,Largescale integration,B
24,The defines the third generation of computers.,Integrated circuit,Vacuum tube,Transistor,VLSI,A
25,The use of multiple processors on the same chip is referred to as and provides the potential to increase performance without increasing the clock rate.,Multicore,GPU,Data channels,MPC,A
26,"With the , Intel introduced the use of superscalar techniques that allow multiple instructions to execute in parallel.",Core,8080,80486,Pentium,D
27,The measures the ability of a computer to complete a single task.,Clock speed,Speed metric,Execute cycle,Cycle time,B
28,ARM processors are designed to meet the needs of .,Embedded realtime systems,Application platforms,Secure applications,All of the above,D
