,question,A,B,C,D,true_answer,predict_answer,predict_data,tag
0,Computer technology is changing at a pace.,Slow,Slow to medium,Rapid,Nonexistent,C,C,"['rapid', 'rapid', 'rapid pace']",1
1,Computer refers to those attributes that have a direct impact on the logical execution of a program.,Organization,Specifics,Design,Architecture,D,D,"['computer architecture', 'computer architecture', 'aspect computation interest follow operation perform determine function perform processor interaction memory operand use type operand frequency use deter mine memory organization store address mode access execution sequence', 'configuration logic component design specifically computation could construct think process connect various component desire configuration form program result program form hardware']",1
2,Architectural attributes include .,IO mechanisms,Control signals,Interfaces,Memory technology used,A,A,"['explicit operand reference use one address mode describe section 13 1', 'instruction set number bite use represent various data type e', 'input output instruction specify 8bit io port number']",1
3,attributes include hardware details transparent to the programmer.,Interface,Organizational,Memory,Architectural,B,B,"['organizational attribute', 'organizational attribute', 'memory protection', 'architectural attribute include instruction set number bite']",1
4,It is an design issue whether a computer will have a multiply instruction.,Architectural,Memory,Elementary,Organizational,A,A,"['architectural design issue', 'organizational issue', 'organizational decision may base anticipate frequency use multiply instruction', 'update program counter contain address instruction memory']",1
5,It is an issue whether the multiply instruction will be implemented by a special multiply unit or by a mechanism that makes repeated use of the add unit of the system.,Architectural,Memory,Mechanical,Organizational,D,D,"['organizational issue', 'organizational decision may base anticipate frequency use multiply instruction relative speed two approach cost physical size special multiply unit', 'organizational issue']",1
6,A system is a set of interrelated subsystems.,Secondary,Hierarchical,Complex,Functional,B,B,"['hierarchical system', 'box represent functional hardware unit storage unit']",1
7,An IO device is referred to as a .,CPU,Control device,Peripheral,Register,C,C,"['peripheral device', 'io address register', 'peripheral', 'device queue', 'give device', 'address 10000000 refer device attach io module module 1', 'external device', 'register rename']",1
8,"When data are moved over longer distances, to or from a remote device, the process is known as .",Data communications,Registering,Structuring,Data transport,A,A,"['data communication', 'data communication', 'communication device', 'power interrupt data lose', 'external memory data often transfer much larger unit word refer block', 'transfer data one peripheral communication line another', 'data buffer io module send peripheral device data rate', 'second length data transfer must indicate', 'virtual lane temporarily dedicate transfer data one end node another infiniband fabric', 'io module transfer data external device cpu memory vice versa', 'data movement', 'communication system', 'either data item result load store instruction instruction fetch']",1
9,The stores data.,System bus,IO,Main memory,Control unit,C,C,"['main memory', 'operand store write result memory io', 'alu f2 memory reference translate data virtual address physical use tlb mem f1 memory reference send physical address data cache', 'user system data view store logical disk logical disk divide strip', 'identifier state priority program counter memory pointer context data io status information account information figure 8']",1
